Page,PageComplete,Type,Accession,Code,Catalog
2,True,SKINS,11105,E,117717
2,True,SKINS,11105,E,117723
2,True,SKINS,11105,E,117747
2,True,SKINS,11114,E,118016
2,True,SKINS,11116,E,118044
2,True,SKINS,11119,E,118068
2,True,SKINS,11120,E,118787
2,True,SKINS,11120,E,118790
2,True,SKINS,11120,E,118792
2,True,SKINS,11120,E,118793
2,True,SKINS,11120,E,118796
2,True,SKINS,11120,E,118806
2,True,SKINS,11120,E,118821
2,True,SKINS,11120,E,118835
2,True,SKINS,11120,E,118839
2,True,SKINS,11120,E,118850
2,True,SKINS,11120,E,118864
2,True,SKINS,11120,E,118883
2,True,SKINS,11120,E,118887
2,True,SKINS,11120,E,118900
2,True,SKINS,11120,E,118917
2,True,SKINS,11120,E,118931
2,True,SKINS,11120,E,118952
2,True,SKINS,11120,E,118973
2,True,SKINS,11120,E,118988
2,True,SKINS,11120,E,118996
2,True,SKINS,11120,E,119093
2,True,SKINS,11120,E,119143
2,True,SKINS,11120,E,119165
2,True,SKINS,11120,E,119181
2,True,SKINS,11120,E,119183
2,True,SKINS,11120,E,119195
2,True,SKINS,11120,E,119203
2,True,SKINS,11120,E,119205
2,True,SKINS,11120,E,119231
2,True,SKINS,11120,E,119247
2,True,SKINS,11120,E,119273
2,True,SKINS,11120,E,119289
2,True,SKINS,11120,E,119290
2,True,SKINS,11121,E,119358
2,True,SKINS,11121,E,119382
2,True,SKINS,11121,E,119416
2,True,SKINS,11121,E,119429
2,True,SKINS,11121,E,119592
2,True,SKINS,11121,E,119663
2,True,SKINS,11121,E,119900
2,True,SKINS,11121,E,119917
2,True,SKINS,11121,E,120041
2,True,SKINS,11121,E,120463
2,True,SKINS,11121,E,120487
2,True,SKINS,11121,E,120543
2,True,SKINS,11192,E,120611
2,True,SKINS,11202,E,120622
2,True,SKINS,11202,E,120623
2,True,SKINS,11202,E,120624
2,True,SKINS,11202,E,120625
2,True,SKINS,11202,E,120626
2,True,SKINS,11202,E,120627
2,True,SKINS,11202,E,120629
2,True,SKINS,11202,E,120630
2,True,SKINS,11202,E,120631
2,True,SKINS,11202,E,120632
2,True,SKINS,11202,E,120633
2,True,SKINS,11202,E,120634
2,True,SKINS,11202,E,120635
2,True,SKINS,11202,E,120636
2,True,SKINS,11202,E,120637
2,True,SKINS,11202,E,120638
2,True,SKINS,11202,E,120640
2,True,SKINS,11202,E,120641
2,True,SKINS,11202,E,120642
2,True,SKINS,11202,E,120643
2,True,SKINS,11202,E,120644
2,True,SKINS,11202,E,120645
2,True,SKINS,11202,E,120646
2,True,SKINS,11202,E,120647
2,True,SKINS,11202,E,120648
2,True,SKINS,11202,E,120649
2,True,SKINS,11202,E,120650
2,True,SKINS,11202,E,120651
2,True,SKINS,11202,E,120652
2,True,SKINS,11202,E,120653
2,True,SKINS,11202,E,120654
2,True,SKINS,11202,E,120655
2,True,SKINS,11202,E,120656
2,True,SKINS,11202,E,120657
2,True,SKINS,11202,E,120658
2,True,SKINS,11202,E,120659
2,True,SKINS,11202,E,120660
2,True,SKINS,11202,E,120661
2,True,SKINS,11202,E,120662
2,True,SKINS,11202,E,120663
2,True,SKINS,11202,E,120664
2,True,SKINS,11202,E,120665
2,True,SKINS,11202,E,120666
