Page,RowsExtracted,RowsExpected,PctComplete,Complete,Error,AttemptsUsed,ImageFile,OcrTextFile
84,162,162,100.0,True,,1,JPEGS\84.jpg,out\ocr_text\page_084.txt
85,162,162,100.0,True,,1,JPEGS\85.jpg,out\ocr_text\page_085.txt
86,162,162,100.0,True,,1,JPEGS\86.jpg,out\ocr_text\page_086.txt
87,162,162,100.0,True,,1,JPEGS\87.jpg,out\ocr_text\page_087.txt
88,162,162,100.0,True,,1,JPEGS\88.jpg,out\ocr_text\page_088.txt
89,162,162,100.0,True,,1,JPEGS\89.jpg,out\ocr_text\page_089.txt
90,162,162,100.0,True,,1,JPEGS\90.jpg,out\ocr_text\page_090.txt
91,162,162,100.0,True,,1,JPEGS\91.jpg,out\ocr_text\page_091.txt
92,162,162,100.0,True,,1,JPEGS\92.jpg,out\ocr_text\page_092.txt
93,162,162,100.0,True,,1,JPEGS\93.jpg,out\ocr_text\page_093.txt
94,162,162,100.0,True,,1,JPEGS\94.jpg,out\ocr_text\page_094.txt
95,162,162,100.0,True,,1,JPEGS\95.jpg,out\ocr_text\page_095.txt
96,162,162,100.0,True,,1,JPEGS\96.jpg,out\ocr_text\page_096.txt
97,162,162,100.0,True,,1,JPEGS\97.jpg,out\ocr_text\page_097.txt
98,162,162,100.0,True,,1,JPEGS\98.jpg,out\ocr_text\page_098.txt
99,160,160,100.0,True,,1,JPEGS\99.jpg,out\ocr_text\page_099.txt
100,160,160,100.0,True,,1,JPEGS\100.jpg,out\ocr_text\page_100.txt
101,162,162,100.0,True,,1,JPEGS\101.jpg,out\ocr_text\page_101.txt
102,136,136,100.0,True,,1,JPEGS\102.jpg,out\ocr_text\page_102.txt
