Page,PageComplete,Type,Accession,Code,Catalog,Deaccession,Date,Temp#,Genus,Species
Page,PageComplete,Type,Accession,Code,Catalog,Deaccession,Date,Temp#,Genus,Species
1,True,SKINS,10804,E,116767,172,1997-05-01,,,
1,True,SKINS,10804,E,116779,172,1997-05-01,,,
1,True,SKINS,10804,E,116860,172,1997-05-01,,,
1,True,SKINS,10804,E,117059,172,1997-05-01,,,
1,True,SKINS,10804,E,117081,172,1997-05-01,,,
1,True,SKINS,10805,D,117123,172,1997-05-01,,,
1,True,SKINS,10805,E,117115,172,1997-05-01,,,
1,True,SKINS,10805,E,117116,172,1997-05-01,,,
1,True,SKINS,10805,E,117117,172,1997-05-01,,,
1,True,SKINS,10805,E,117124,172,1997-05-01,,,
1,True,SKINS,10805,E,117125,172,1997-05-01,,,
1,True,SKINS,10805,E,117126,172,1997-05-01,,,
1,True,SKINS,10805,E,117127,172,1997-05-01,,,
1,True,SKINS,10805,E,117128,172,1997-05-01,,,
1,True,SKINS,10805,E,117131,172,1997-05-01,,,
1,True,SKINS,10805,E,117132,172,1997-05-01,,,
1,True,SKINS,10805,E,117133,172,1997-05-01,,,
1,True,SKINS,10805,E,117134,172,1997-05-01,,,
1,True,SKINS,10805,E,117135,172,1997-05-01,,,
1,True,SKINS,10805,E,117137,172,1997-05-01,,,
1,True,SKINS,10805,E,117138,172,1997-05-01,,,
1,True,SKINS,10805,E,117139,172,1997-05-01,,,
1,True,SKINS,10805,E,117146,172,1997-05-01,,,
1,True,SKINS,10805,E,117147,172,1997-05-01,,,
1,True,SKINS,10805,E,117148,172,1997-05-01,,,
1,True,SKINS,10805,E,117149,172,1997-05-01,,,
1,True,SKINS,10814,E,117485,172,1997-05-01,,,
1,True,SKINS,10814,E,117512,172,1997-05-01,,,
1,True,SKINS,10814,E,117542,172,1997-05-01,,,
1,True,SKINS,10814,E,117583,172,1997-05-01,,,
1,True,SKINS,10814,E,117591,172,1997-05-01,,,
1,True,SKINS,10814,E,117630,172,1997-05-01,,,
1,True,SKINS,10814,E,117631,172,1997-05-01,,,
1,True,SKINS,10814,E,117632,172,1997-05-01,,,
2,True,SKINS,1097,E,3876,172,1997-05-01,,,
2,True,SKINS,1097,E,3889,172,1997-05-01,,,
2,True,SKINS,1097,E,3896,172,1997-05-01,,,
2,True,SKINS,1097,E,3900,172,1997-05-01,,,
2,True,SKINS,1097,E,3909,172,1997-05-01,,,
2,True,SKINS,1097,E,3911,172,1997-05-01,,,
2,True,SKINS,1097,E,3916,172,1997-05-01,,,
2,True,SKINS,1097,E,3934,172,1997-05-01,,,
2,True,SKINS,1097,E,3940,172,1997-05-01,,,
2,True,SKINS,1097,E,3941,172,1997-05-01,,,
2,True,SKINS,1097,E,3943,172,1997-05-01,,,
2,True,SKINS,1097,E,3946,172,1997-05-01,,,
2,True,SKINS,1097,E,3949,172,1997-05-01,,,
2,True,SKINS,1097,E,3954,172,1997-05-01,,,
2,True,SKINS,1100,E,3966,172,1997-05-01,,,
2,True,SKINS,1123,E,3973,172,1997-05-01,,,
2,True,SKINS,1123,E,3977,172,1997-05-01,,,
2,True,SKINS,1123,E,3978,172,1997-05-01,,,
2,True,SKINS,1123,E,3979,172,1997-05-01,,,
2,True,SKINS,1123,E,3981,172,1997-05-01,,,
2,True,SKINS,1123,E,3986,172,1997-05-01,,,
2,True,SKINS,1123,E,3987,172,1997-05-01,,,
2,True,SKINS,1123,E,3992,172,1997-05-01,,,
2,True,SKINS,1123,E,3993,172,1997-05-01,,,
2,True,SKINS,1123,E,4000,172,1997-05-01,,,
2,True,SKINS,1123,E,4018,172,1997-05-01,,,
2,True,SKINS,1123,E,4021,172,1997-05-01,,,
2,True,SKINS,1123,E,4024,172,1997-05-01,,,
2,True,SKINS,1123,E,4025,172,1997-05-01,,,
2,True,SKINS,1127,E,4028,172,1997-05-01,,,
2,True,SKINS,1127,E,4138,172,1997-05-01,,,
2,True,SKINS,1129,E,4195,172,1997-05-01,,,
2,True,SKINS,1129,E,4197,172,1997-05-01,,,
2,True,SKINS,1129,E,4213,172,1997-05-01,,,
2,True,SKINS,1129,E,4216,172,1997-05-01,,,
2,True,SKINS,1129,E,4235,172,1997-05-01,,,
