Page,RowBandIndex,ColIndex,AccRaw,CodeRaw,CatRaw
53,6,0,6110,,64846
53,6,1,6110,,74 6
53,6,2,06 6526,,
53,7,0,6110,,64850
53,7,1,6110,,77 6
53,7,2,6527,,
53,8,0,6110,,64851
53,8,1,6110,,79 6
53,8,2,0 6527,,
53,9,0,6110,,64852
53,9,2,6527,,
53,10,0,6110,,64869
53,10,1,6110,,86 6
53,10,2,0 6527,,
53,11,0,6110,,64872
53,11,1,6110,,5 6
53,11,2,0 65278,,
53,12,0,6110,,64875
53,12,1,6110,,1 6
53,12,2,0 65278,,
53,13,0,6110,,64876
53,13,1,6110,,02 6
53,13,2,0 65278,,
53,14,0,6110,,64880
53,14,1,6110,,06 6
53,14,2,0 6529,,
53,15,0,6110,,64883
53,15,2,6530,,
53,16,0,611,,64886
53,16,2,0 6531,,
53,17,0,611,,64888
53,17,1,6110,,12 6
53,17,2,0 6531,,
53,18,0,611,,64890
53,18,1,6110,,15 6
53,18,2,0 6531,D,
53,19,0,611,,64900
53,19,1,6110,,6
53,19,2,0 6531,,
53,20,0,611,,64905
53,20,1,6110,,22 6
53,20,2,0 6532,,
53,21,0,611,,64908
53,21,1,6110,,29 6
53,21,2,0 6532,,
53,22,0,611,,64911
53,22,1,6110,,37 6
53,22,2,0 6532,,
53,23,0,611,,64914
53,23,1,6110,,37 6
53,23,2,6532,,
53,24,2,0 6533,,
53,25,0,611,,64995
53,25,1,6110,,6
53,25,2,0 6533,,
53,26,0,611,,64927
53,26,1,6110,,48 6
53,26,2,6534,,
53,27,0,611,,64935
53,27,1,6110,,55 6
53,27,2,6534,,
53,28,1,6110,,56 6
53,28,2,6534,,
53,29,0,611,,649492
53,29,1,6110,,62 6
53,29,2,6535,,
53,30,0,611,,64947
53,30,1,6110,,65 6
53,30,2,0 6535,,
53,31,1,6110,,67 6
53,31,2,0 6536,,
53,32,1,6110,,68 6
53,32,2,6536,,
53,33,0,611,,64959
53,33,1,6110,,69 6
53,33,2,0 6537,,
53,34,0,611,,64967
53,34,1,6110,,10 6
53,34,2,6538,,
53,35,1,6110,,6
53,35,2,0 6538,,
53,36,0,611,,64976
53,36,1,6110,,3 6
53,36,2,0 6538,,
53,37,1,6110,,5 6
53,37,2,6538,,
53,38,1,6110,,16 6
53,38,2,6539,,
53,39,1,6110,,6
53,39,2,0 6539,,
53,40,1,6110,,6
53,40,2,0 6539,,
53,41,1,6110,,84 6
53,41,2,0 6539,,
53,42,1,6110,,85 6
53,42,2,0 6540,,
53,43,2,0 6540,,
53,44,0,611,,64994
53,44,1,6110,,992 6
53,44,2,6540,,
53,45,0,611,,64998
53,45,1,6110,,93 6
53,45,2,0 6541,,
53,46,1,6110,,99 6
53,46,2,0 6541,,
53,47,1,6110,,13 6
53,47,2,0 65472,,
53,48,1,6110,,18 6
53,48,2,0 6547,,
53,49,1,6110,,23 6
53,49,2,6542,,
53,50,1,6110,,25 6
53,50,2,0 6542,,
53,51,1,6110,,26 6
53,51,2,0 6542,,
53,52,1,6110,,30 6
53,52,2,0 6543,,
53,53,1,6110,,34 6
53,53,2,0 6543,,
61,0,0,,,
61,0,1,,,
61,0,2,,,
61,1,0,63,,73413
61,1,1,6337,,3643
61,1,2,13 740,G,
61,2,0,637,,713416
61,2,1,6337,,3647
61,2,2,13 4,D,
61,3,0,63,,134921
61,3,1,6337,,3649
61,3,2,13 14,G,
61,4,1,6337,,3652
61,4,2,13 7,,
61,5,1,6337,,3657
61,5,2,13 14,,
61,6,0,63,,73499
61,6,1,6337,,3658
61,6,2,13 4,,
61,7,0,63,,73431
61,7,1,6337,,3659
61,7,2,13 74,,
61,8,0,63,,73433
61,8,1,6337,,3660
61,8,2,13 74,,
61,9,0,63,,73436
61,9,1,6337,,3664
61,9,2,136 74,,
61,10,0,63,,73437
61,10,1,6337,,3665
61,10,2,913 74,,
61,11,0,63,,73444
61,11,1,6337,,3669
61,11,2,13 74,,
61,12,0,63,,7 73445
61,12,1,6337,,3671
61,12,2,9136 74,,
61,13,0,63,,13448
61,13,1,6337,,3672
61,13,2,9136 74,,
61,14,0,63,,73449
61,14,1,6337,,3673
61,14,2,913 74,,
61,15,0,63,,73450
61,15,1,6337,,3675
61,15,2,913 74,,
61,16,0,63,,73458
61,16,1,6337,,3678
61,16,2,913 74,,
61,17,0,63,,1 3461
61,17,1,6337,,3688
61,17,2,913 7,,
62,0,0,,,
62,0,1,,,
62,0,2,,,
62,1,0,657,,74186
62,1,1,6570,,1465
62,1,2,70 741,,
62,2,0,857,,74206
62,2,2,70 141,G,
62,3,0,657,,74209
62,3,1,6570,,41470
62,3,2,70 141,D,
62,4,0,657,,74210
62,4,1,6570,,447
62,4,2,0 14,,
62,5,1,6570,,1478
62,5,2,0 74,,
62,6,0,657,,74215
62,6,1,6570,,4479
62,6,2,0 74,,
62,7,0,85,,74219
62,7,1,6570,,4489
62,7,2,70 14,,
62,8,0,65,,14944
62,8,1,6570,,4492
62,8,2,0 74,,
62,9,1,6570,,4500
62,9,2,0 74,,
62,10,0,65,,9537
62,10,1,6570,,501
62,10,2,0 14,,
62,11,0,65,,9539
62,11,1,6570,,4502
62,11,2,0 714,,
62,12,0,65,,541
62,12,1,6570,,4504
62,12,2,970 74,,
62,13,0,65,,2543
62,13,1,6570,,4509
62,13,2,0 14,,
62,14,0,65,,74981
62,14,1,6570,,4520
62,14,2,10 14,,
62,15,0,65,,7
62,15,1,6570,,4523
62,15,2,0 14,,
