Page,Extracted,Expected,Error,Scale,RowBands
20,152,162,COUNT_MISMATCH 152 != 162,2.6,54
27,143,162,COUNT_MISMATCH 143 != 162,3.2,54
53,156,162,COUNT_MISMATCH 156 != 162,2.6,54
61,71,162,COUNT_MISMATCH 71 != 162,2.6,54
62,78,162,COUNT_MISMATCH 78 != 162,2.8,54
