Page,RowsExtracted,RowsExpected,PctComplete,Complete,Error,Duplicates,DeskewAngleDeg,AttemptsUsed,ImageFile,OcrTextFile
62,108,162,66.67,False,COUNT_MISMATCH 108 != 162,0,-1.2,6,JPEGS\62.jpg,out\ocr_text\page_062.txt
63,109,162,67.28,False,COUNT_MISMATCH 109 != 162,0,-1.0,6,JPEGS\63.jpg,out\ocr_text\page_063.txt
64,109,162,67.28,False,COUNT_MISMATCH 109 != 162,0,-0.6,6,JPEGS\64.jpg,out\ocr_text\page_064.txt
65,109,162,67.28,False,COUNT_MISMATCH 109 != 162,0,-1.0,6,JPEGS\65.jpg,out\ocr_text\page_065.txt
66,109,162,67.28,False,COUNT_MISMATCH 109 != 162,0,-0.6,6,JPEGS\66.jpg,out\ocr_text\page_066.txt
67,108,162,66.67,False,COUNT_MISMATCH 108 != 162,0,-0.2,6,JPEGS\67.jpg,out\ocr_text\page_067.txt
68,109,162,67.28,False,COUNT_MISMATCH 109 != 162,0,0.0,6,JPEGS\68.jpg,out\ocr_text\page_068.txt
69,108,162,66.67,False,COUNT_MISMATCH 108 != 162,0,0.6,6,JPEGS\69.jpg,out\ocr_text\page_069.txt
70,108,162,66.67,False,COUNT_MISMATCH 108 != 162,0,0.6,6,JPEGS\70.jpg,out\ocr_text\page_070.txt
71,108,162,66.67,False,COUNT_MISMATCH 108 != 162,0,0.8,6,JPEGS\71.jpg,out\ocr_text\page_071.txt
72,108,162,66.67,False,COUNT_MISMATCH 108 != 162,0,0.4,6,JPEGS\72.jpg,out\ocr_text\page_072.txt
73,109,162,67.28,False,COUNT_MISMATCH 109 != 162,0,0.0,6,JPEGS\73.jpg,out\ocr_text\page_073.txt
74,110,162,67.9,False,COUNT_MISMATCH 110 != 162,0,0.6,6,JPEGS\74.jpg,out\ocr_text\page_074.txt
75,111,162,68.52,False,COUNT_MISMATCH 111 != 162,0,0.6,6,JPEGS\75.jpg,out\ocr_text\page_075.txt
76,108,162,66.67,False,COUNT_MISMATCH 108 != 162,0,0.4,6,JPEGS\76.jpg,out\ocr_text\page_076.txt
77,108,162,66.67,False,COUNT_MISMATCH 108 != 162,0,0.6,6,JPEGS\77.jpg,out\ocr_text\page_077.txt
78,108,162,66.67,False,COUNT_MISMATCH 108 != 162,0,0.4,6,JPEGS\78.jpg,out\ocr_text\page_078.txt
79,113,162,69.75,False,COUNT_MISMATCH 113 != 162,0,0.2,6,JPEGS\79.jpg,out\ocr_text\page_079.txt
80,113,162,69.75,False,COUNT_MISMATCH 113 != 162,0,0.6,6,JPEGS\80.jpg,out\ocr_text\page_080.txt
81,109,162,67.28,False,COUNT_MISMATCH 109 != 162,0,0.0,6,JPEGS\81.jpg,out\ocr_text\page_081.txt
82,109,162,67.28,False,COUNT_MISMATCH 109 != 162,0,0.0,6,JPEGS\82.jpg,out\ocr_text\page_082.txt
83,128,162,79.01,False,COUNT_MISMATCH 128 != 162,0,0.0,6,JPEGS\83.jpg,out\ocr_text\page_083.txt
84,108,162,66.67,False,COUNT_MISMATCH 108 != 162,0,-0.6,6,JPEGS\84.jpg,out\ocr_text\page_084.txt
85,108,162,66.67,False,COUNT_MISMATCH 108 != 162,0,-0.4,6,JPEGS\85.jpg,out\ocr_text\page_085.txt
86,126,162,77.78,False,COUNT_MISMATCH 126 != 162,0,-0.2,6,JPEGS\86.jpg,out\ocr_text\page_086.txt
87,132,162,81.48,False,COUNT_MISMATCH 132 != 162,0,0.4,6,JPEGS\87.jpg,out\ocr_text\page_087.txt
88,116,162,71.6,False,COUNT_MISMATCH 116 != 162,0,-0.4,6,JPEGS\88.jpg,out\ocr_text\page_088.txt
89,109,162,67.28,False,COUNT_MISMATCH 109 != 162,0,-0.2,6,JPEGS\89.jpg,out\ocr_text\page_089.txt
90,108,162,66.67,False,COUNT_MISMATCH 108 != 162,0,-0.4,6,JPEGS\90.jpg,out\ocr_text\page_090.txt
91,108,162,66.67,False,COUNT_MISMATCH 108 != 162,0,-0.4,6,JPEGS\91.jpg,out\ocr_text\page_091.txt
92,108,162,66.67,False,COUNT_MISMATCH 108 != 162,0,0.0,6,JPEGS\92.jpg,out\ocr_text\page_092.txt
93,109,162,67.28,False,COUNT_MISMATCH 109 != 162,0,0.0,6,JPEGS\93.jpg,out\ocr_text\page_093.txt
94,108,162,66.67,False,COUNT_MISMATCH 108 != 162,0,-0.2,6,JPEGS\94.jpg,out\ocr_text\page_094.txt
95,108,162,66.67,False,COUNT_MISMATCH 108 != 162,0,0.2,6,JPEGS\95.jpg,out\ocr_text\page_095.txt
96,108,162,66.67,False,COUNT_MISMATCH 108 != 162,0,0.0,6,JPEGS\96.jpg,out\ocr_text\page_096.txt
97,108,162,66.67,False,COUNT_MISMATCH 108 != 162,0,0.0,6,JPEGS\97.jpg,out\ocr_text\page_097.txt
98,108,162,66.67,False,COUNT_MISMATCH 108 != 162,0,-0.2,6,JPEGS\98.jpg,out\ocr_text\page_098.txt
99,106,160,66.25,False,COUNT_MISMATCH 106 != 160,0,0.6,6,JPEGS\99.jpg,out\ocr_text\page_099.txt
100,108,160,67.5,False,COUNT_MISMATCH 108 != 160,0,-0.4,6,JPEGS\100.jpg,out\ocr_text\page_100.txt
101,108,162,66.67,False,COUNT_MISMATCH 108 != 162,0,0.4,6,JPEGS\101.jpg,out\ocr_text\page_101.txt
102,82,136,60.29,False,COUNT_MISMATCH 82 != 136,0,0.8,6,JPEGS\102.jpg,out\ocr_text\page_102.txt
