Accession,Code,Catalog,Section,Page,Filename,Method
0804,E,117059,SKINS,1,scanDE0000.jpg,Standard
804,E,117081,SKINS,1,scanDE0000.jpg,Standard
0805,D,117123,SKINS,1,scanDE0000.jpg,Standard
0805,E,117115,SKINS,1,scanDE0000.jpg,Standard
0805,E,117116,SKINS,1,scanDE0000.jpg,Standard
0805,E,117117,SKINS,1,scanDE0000.jpg,Standard
0805,E,117124,SKINS,1,scanDE0000.jpg,Standard
0805,E,117125,SKINS,1,scanDE0000.jpg,Standard
0805,E,117126,SKINS,1,scanDE0000.jpg,Standard
0805,E,117127,SKINS,1,scanDE0000.jpg,Standard
0805,E,117128,SKINS,1,scanDE0000.jpg,Standard
0805,E,117131,SKINS,1,scanDE0000.jpg,Standard
0805,E,117132,SKINS,1,scanDE0000.jpg,Standard
0805,E,117133,SKINS,1,scanDE0000.jpg,Standard
0805,E,117134,SKINS,1,scanDE0000.jpg,Standard
9805,E,117135,SKINS,1,scanDE0000.jpg,Standard
0805,E,117137,SKINS,1,scanDE0000.jpg,Standard
1805,E,117138,SKINS,1,scanDE0000.jpg,Standard
1805,E,117139,SKINS,1,scanDE0000.jpg,Standard
1805,E,117146,SKINS,1,scanDE0000.jpg,Standard
1805,E,117147,SKINS,1,scanDE0000.jpg,Standard
805,E,117148,SKINS,1,scanDE0000.jpg,Standard
805,E,117149,SKINS,1,scanDE0000.jpg,Standard
814,E,117485,SKINS,1,scanDE0000.jpg,Standard
814,E,117512,SKINS,1,scanDE0000.jpg,Standard
814,E,117542,SKINS,1,scanDE0000.jpg,Standard
814,E,117583,SKINS,1,scanDE0000.jpg,Standard
814,E,117591,SKINS,1,scanDE0000.jpg,Standard
814,E,117630,SKINS,1,scanDE0000.jpg,Standard
814,E,117631,SKINS,1,scanDE0000.jpg,Standard
814,E,117632,SKINS,1,scanDE0000.jpg,Standard
087,E,3855,SKINS,1,scanDE0000.jpg,Standard
097,E,3859,SKINS,1,scanDE0000.jpg,Standard
097,E,3860,SKINS,1,scanDE0000.jpg,Standard
097,E,3861,SKINS,1,scanDE0000.jpg,Standard
097,E,3864,SKINS,1,scanDE0000.jpg,Standard
1097,E,3876,SKINS,2,scanDE0001.jpg,Standard
1097,E,3889,SKINS,2,scanDE0001.jpg,Standard
1097,E,3896,SKINS,2,scanDE0001.jpg,Standard
1097,E,3900,SKINS,2,scanDE0001.jpg,Standard
1097,E,3909,SKINS,2,scanDE0001.jpg,Standard
1097,E,3911,SKINS,2,scanDE0001.jpg,Standard
1097,E,3916,SKINS,2,scanDE0001.jpg,Standard
1097,E,3934,SKINS,2,scanDE0001.jpg,Standard
1097,E,3940,SKINS,2,scanDE0001.jpg,Standard
1097,E,3941,SKINS,2,scanDE0001.jpg,Standard
1097,E,3943,SKINS,2,scanDE0001.jpg,Standard
1097,E,3946,SKINS,2,scanDE0001.jpg,Standard
1097,E,3949,SKINS,2,scanDE0001.jpg,Standard
1097,E,3954,SKINS,2,scanDE0001.jpg,Standard
1100,E,3966,SKINS,2,scanDE0001.jpg,Standard
11105,E,117717,SKINS,2,scanDE0001.jpg,Standard
11105,E,117723,SKINS,2,scanDE0001.jpg,Standard
